Rate,Measure Names,Max Demand Rate ($/kW),Measure Values
Schedule_GS_Type_2_(Secondary),Demand Charge Savings ($),$0.00,0
Schedule_GL_(Secondary_Voltage),Demand Charge Savings ($),$6.15,14980.333333333
Schedule_G_-_Secondary,Demand Charge Savings ($),$0.00,0
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Demand Charge Savings ($),$41.95,592548.65625
SC-9_-_General_Large_TOD_Service_[NYC],Demand Charge Savings ($),$54.31,3765855
SC-9_-_General_Large_Low_Tension_Service_[NYC],Demand Charge Savings ($),$21.82,0
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Demand Charge Savings ($),$17.48,296817.513333333
Power_and_Light_Medium_Schedule_PLM-11,Demand Charge Savings ($),$0.00,0
Power_and_Light_Large_Schedule_PLL-11,Demand Charge Savings ($),$0.00,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Demand Charge Savings ($),$12.47,38399.64375
OGS-TOU-NEM,Demand Charge Savings ($),$0.00,0
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),Demand Charge Savings ($),$16.30,210947.666666667
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,Demand Charge Savings ($),$16.49,37118.2
LGS-1_-_Large_General_Service,Demand Charge Savings ($),$8.57,36817.73125
Large_Light_&_Power_-_Primary_voltage_discount,Demand Charge Savings ($),$7.55,0
GSLD-1_(General_Service_Large_Demand),Demand Charge Savings ($),$12.56,56493.333333333
GSEDS-1_Secondary_Non-Demand,Demand Charge Savings ($),$0.00,0
GSEDS-1_Secondary_Demand,Demand Charge Savings ($),$9.41,32532.61875
GSEDS-1_Primary_Non-Demand,Demand Charge Savings ($),$0.00,0
GSEDS-1_Primary_Demand,Demand Charge Savings ($),$7.90,25828.475
GSDT-1_(General_Service_Demand_-Time-Of-Use),Demand Charge Savings ($),$9.20,11236.066666667
GSD-1_(General_Service_Demand),Demand Charge Savings ($),$10.60,11485.366666667
GS-2_(S)_Large_General_Service_Secondary,Demand Charge Savings ($),$11.06,68766.9375
GS-1_General_Service,Demand Charge Savings ($),$0.00,0
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),Demand Charge Savings ($),$11.00,82264.333333333
General_Service_With_Demand_Meter_(Rate_Code_25),Demand Charge Savings ($),$5.86,18332.9375
General_Service_(A14),Demand Charge Savings ($),$14.98,10741.264285714
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,Demand Charge Savings ($),$4.12,49553
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,Demand Charge Savings ($),$4.16,55297
E-36_Standard_Price_Plan_for_General_Service,Demand Charge Savings ($),$6.76,27746.675
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Demand Charge Savings ($),$6.65,44596.275
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),Demand Charge Savings ($),$33.72,1742684.33333333
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),Demand Charge Savings ($),$17.58,308416
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Demand Charge Savings ($),$17.58,109013.116666667
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Demand Charge Savings ($),$34.72,221817.091666667
BES-Small_Load_Delivery_Class_(Secondary),Demand Charge Savings ($),$6.18,6503.19375
BES-Medium_Load_Delivery_Class_(Secondary),Demand Charge Savings ($),$6.29,6820.24375
BES-Large_Load_Delivery_Class_(Secondary),Demand Charge Savings ($),$6.73,7506.98125
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Demand Charge Savings ($),$16.78,90506.275
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Demand Charge Savings ($),$16.78,94528.641666667
A-6_Small_General_Service_TOU_Single_Phase,Demand Charge Savings ($),$0.00,0
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Demand Charge Savings ($),$0.00,0
4B_Large_Power_TOU_(PNM-Owned_Transformer),Demand Charge Savings ($),$17.47,311087.25
3B_General_Power_TOU_(PNM-Owned_Transformer),Demand Charge Savings ($),$17.47,154384.756428571
2B_Small_Power_Service_-_TOU,Demand Charge Savings ($),$0.00,0
2A_(Small_Power_Service),Demand Charge Savings ($),$0.00,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),NPV ($),$16.23,2971010
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),NPV ($),$38.02,1289185.1
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),NPV ($),$15.57,4017550
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),NPV ($),$36.38,645728
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),NPV ($),$11.05,947411
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),NPV ($),$34.91,788652
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),NPV ($),$17.81,906051
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,NPV ($),$9.97,536745
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,NPV ($),$30.87,337382.5
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,NPV ($),$13.20,483987.8
Small_General_Time-of-Day_Service_(A12),NPV ($),$0.00,7296.6
Small_General_Service_Time-Of-Use_(A-1)(B),NPV ($),$7.48,20091.6
Small_General_Service_Metered_(A10),NPV ($),$0.00,1158334.7
Small_General_Service_(A-1)(A),NPV ($),$7.48,13911.1
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,NPV ($),$4.84,539943.4
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,NPV ($),$18.90,87546.8
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,NPV ($),$15.66,78649.4
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,NPV ($),$0.00,217177.6
Schedule_SMC_-_Small_General_Service_City,NPV ($),$0.00,0
Schedule_P,NPV ($),$5.31,109060
Schedule_MDT-Medium_Standard_General_Service_Tukwila,NPV ($),$2.32,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,NPV ($),$2.32,0
Schedule_MDD_-_Medium_Network_General_Service,NPV ($),$4.54,11116
Schedule_MDC_-_Medium_Standard_General_Service_City,NPV ($),$2.32,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,NPV ($),$2.32,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),NPV ($),$3.83,2400
Schedule_LGC_-_Large_Standard_General_Service_City,NPV ($),$2.08,0
Schedule_GS_Type_2_(Secondary),NPV ($),$0.00,12718.3
Schedule_GL_(Secondary_Voltage),NPV ($),$6.15,282900
Schedule_G_-_Secondary,NPV ($),$0.00,2346841.4
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],NPV ($),$41.95,4105353.7
SC-9_-_General_Large_TOD_Service_[NYC],NPV ($),$54.31,2800690
SC-9_-_General_Large_Low_Tension_Service_[NYC],NPV ($),$21.82,1247666
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),NPV ($),$17.48,3707396
Power_and_Light_Medium_Schedule_PLM-11,NPV ($),$0.00,0
Power_and_Light_Large_Schedule_PLL-11,NPV ($),$0.00,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,NPV ($),$12.47,724765.5
OGS-TOU-NEM,NPV ($),$0.00,285245
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),NPV ($),$16.30,318200
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,NPV ($),$16.49,124628
LGS-1_-_Large_General_Service,NPV ($),$8.57,592512.8
Large_Light_&_Power_-_Primary_voltage_discount,NPV ($),$7.55,0
GSLD-1_(General_Service_Large_Demand),NPV ($),$12.56,35520
GSEDS-1_Secondary_Non-Demand,NPV ($),$0.00,2115437.3
GSEDS-1_Secondary_Demand,NPV ($),$9.41,691229.3
GSEDS-1_Primary_Non-Demand,NPV ($),$0.00,1250677.9
GSEDS-1_Primary_Demand,NPV ($),$7.90,570373
GSDT-1_(General_Service_Demand_-Time-Of-Use),NPV ($),$9.20,32326.5
GSD-1_(General_Service_Demand),NPV ($),$10.60,35932.2
GS-2_(S)_Large_General_Service_Secondary,NPV ($),$11.06,3376136.5
GS-1_General_Service,NPV ($),$0.00,26845.4
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),NPV ($),$11.00,48390
General_Service_With_Demand_Meter_(Rate_Code_25),NPV ($),$5.86,480530.6
General_Service_(A14),NPV ($),$14.98,35731.7
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,NPV ($),$4.12,151200
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,NPV ($),$4.16,170320
E-36_Standard_Price_Plan_for_General_Service,NPV ($),$6.76,882831.3
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,NPV ($),$6.65,1368830.9
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),NPV ($),$33.72,3289370
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),NPV ($),$17.58,419200
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),NPV ($),$17.58,2232159.6
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),NPV ($),$34.72,1750881.6
BES-Small_Load_Delivery_Class_(Secondary),NPV ($),$6.18,33168.4
BES-Medium_Load_Delivery_Class_(Secondary),NPV ($),$6.29,34382.8
BES-Large_Load_Delivery_Class_(Secondary),NPV ($),$6.73,39401.7
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),NPV ($),$16.78,1895828.8
A-10_Medium_General_Demand_Service_(Secondary_Voltage),NPV ($),$16.78,1692942.7
A-6_Small_General_Service_TOU_Single_Phase,NPV ($),$0.00,14913182.3
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),NPV ($),$0.00,331682.9
4B_Large_Power_TOU_(PNM-Owned_Transformer),NPV ($),$17.47,486981
3B_General_Power_TOU_(PNM-Owned_Transformer),NPV ($),$17.47,1327331.9
2B_Small_Power_Service_-_TOU,NPV ($),$0.00,26449.5
2A_(Small_Power_Service),NPV ($),$0.00,10062.5
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Capital Cost ($),$16.23,4696842
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Capital Cost ($),$38.02,2197171.4
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Capital Cost ($),$15.57,5138262
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Capital Cost ($),$36.38,1275699
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Capital Cost ($),$11.05,1218549
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Capital Cost ($),$34.91,1342491
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),Capital Cost ($),$17.81,1293561
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Capital Cost ($),$9.97,645813.1
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Capital Cost ($),$30.87,656932.4
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Capital Cost ($),$13.20,646743.4
Small_General_Time-of-Day_Service_(A12),Capital Cost ($),$0.00,13533.1
Small_General_Service_Time-Of-Use_(A-1)(B),Capital Cost ($),$7.48,27706.9
Small_General_Service_Metered_(A10),Capital Cost ($),$0.00,3105182.1
Small_General_Service_(A-1)(A),Capital Cost ($),$7.48,17823.4
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Capital Cost ($),$4.84,993346.3
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Capital Cost ($),$18.90,544800.03
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Capital Cost ($),$15.66,515935.248
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Capital Cost ($),$0.00,2371067.31
Schedule_SMC_-_Small_General_Service_City,Capital Cost ($),$0.00,0
Schedule_P,Capital Cost ($),$5.31,1040374
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Capital Cost ($),$2.32,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Capital Cost ($),$2.32,0
Schedule_MDD_-_Medium_Network_General_Service,Capital Cost ($),$4.54,205602.96
Schedule_MDC_-_Medium_Standard_General_Service_City,Capital Cost ($),$2.32,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,Capital Cost ($),$2.32,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),Capital Cost ($),$3.83,73674.7
Schedule_LGC_-_Large_Standard_General_Service_City,Capital Cost ($),$2.08,0
Schedule_GS_Type_2_(Secondary),Capital Cost ($),$0.00,31999.2
Schedule_GL_(Secondary_Voltage),Capital Cost ($),$6.15,1234188.6
Schedule_G_-_Secondary,Capital Cost ($),$0.00,4064394.8
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Capital Cost ($),$41.95,9450420.4
SC-9_-_General_Large_TOD_Service_[NYC],Capital Cost ($),$54.31,5873200
SC-9_-_General_Large_Low_Tension_Service_[NYC],Capital Cost ($),$21.82,1952194.7
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Capital Cost ($),$17.48,6691340.5
Power_and_Light_Medium_Schedule_PLM-11,Capital Cost ($),$0.00,0
Power_and_Light_Large_Schedule_PLL-11,Capital Cost ($),$0.00,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Capital Cost ($),$12.47,3022624.6
OGS-TOU-NEM,Capital Cost ($),$0.00,2534549.22
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),Capital Cost ($),$16.30,1621211
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,Capital Cost ($),$16.49,671631.5
LGS-1_-_Large_General_Service,Capital Cost ($),$8.57,2788470.68
Large_Light_&_Power_-_Primary_voltage_discount,Capital Cost ($),$7.55,0
GSLD-1_(General_Service_Large_Demand),Capital Cost ($),$12.56,204739.029
GSEDS-1_Secondary_Non-Demand,Capital Cost ($),$0.00,3644124.5
GSEDS-1_Secondary_Demand,Capital Cost ($),$9.41,2702272.07
GSEDS-1_Primary_Non-Demand,Capital Cost ($),$0.00,3286528.2
GSEDS-1_Primary_Demand,Capital Cost ($),$7.90,2507381.37
GSDT-1_(General_Service_Demand_-Time-Of-Use),Capital Cost ($),$9.20,203189.623
GSD-1_(General_Service_Demand),Capital Cost ($),$10.60,207275.88
GS-2_(S)_Large_General_Service_Secondary,Capital Cost ($),$11.06,5387468.5
GS-1_General_Service,Capital Cost ($),$0.00,39802.6
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),Capital Cost ($),$11.00,293325.14
General_Service_With_Demand_Meter_(Rate_Code_25),Capital Cost ($),$5.86,2462871.92
General_Service_(A14),Capital Cost ($),$14.98,283860.61
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,Capital Cost ($),$4.12,1299031
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,Capital Cost ($),$4.16,1364002
E-36_Standard_Price_Plan_for_General_Service,Capital Cost ($),$6.76,3189985.2
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Capital Cost ($),$6.65,3864477.4
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),Capital Cost ($),$33.72,5405695
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),Capital Cost ($),$17.58,559040
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Capital Cost ($),$17.58,2249408.2
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Capital Cost ($),$34.72,2619140.5
BES-Small_Load_Delivery_Class_(Secondary),Capital Cost ($),$6.18,460139.2
BES-Medium_Load_Delivery_Class_(Secondary),Capital Cost ($),$6.29,487634.46
BES-Large_Load_Delivery_Class_(Secondary),Capital Cost ($),$6.73,512605.7
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Capital Cost ($),$16.78,2381509
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Capital Cost ($),$16.78,2510811.6
A-6_Small_General_Service_TOU_Single_Phase,Capital Cost ($),$0.00,12019567.5
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Capital Cost ($),$0.00,582570.8
4B_Large_Power_TOU_(PNM-Owned_Transformer),Capital Cost ($),$17.47,2266152
3B_General_Power_TOU_(PNM-Owned_Transformer),Capital Cost ($),$17.47,3966313.2
2B_Small_Power_Service_-_TOU,Capital Cost ($),$0.00,21533.4
2A_(Small_Power_Service),Capital Cost ($),$0.00,13982.4
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Battery Power (kW),$16.23,252.497
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Battery Power (kW),$38.02,46.9811775
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Battery Power (kW),$15.57,285.1665
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Battery Power (kW),$36.38,75.593875
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Battery Power (kW),$11.05,53.581275
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Battery Power (kW),$34.91,77.025575
