Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
GSEDS-1_Secondary_Demand,Small Office,Helena,1,0 kWh,0 kW,19879.5,59710.2,$5K,$9.41,$0M,10 kW,1672.5,8572.7
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Small Hotel,Atlanta,1,0 kWh,0 kW,167545,427322,$0K,$15.66,$0M,0 kW,0,0
GSEDS-1_Primary_Demand,Warehouse,Helena,1,0 kWh,0 kW,53491.5,175060,$13K,$7.90,$0M,23 kW,2865.7,20249
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Fast Food,New York,1,27 kWh,7 kW,110714,163422,$36K,$41.95,$0M,48 kW,25261.1,50762
OGS-TOU-NEM,Primary School,LasVegas,1,0 kWh,0 kW,0,757581,$38K,$0.00,$0M,69 kW,0,62805
LGS-1_-_Large_General_Service,Secondary School,LasVegas,1,0 kWh,0 kW,835724,1675160,$209K,$8.57,$0M,380 kW,83636,323320
Schedule_P,Large Office,Baltimore,1,0 kWh,0 kW,918765,4385150,$210K,$5.31,$0M,383 kW,43634,320030
GSEDS-1_Primary_Demand,Restaurant,Helena,1,0 kWh,0 kW,44752.3,225729,$30K,$7.90,$0M,54 kW,2706.4,50921
Schedule_MDB-_Medium_Standard_General_Service_Burien,Midrise Apartment,Seattle,1,0 kWh,0 kW,12223.7,146486,$0K,$2.32,$0M,0 kW,0,0
Small_General_Service_Metered_(A10),Supermarket,Duluth,1,0 kWh,0 kW,0,1873300,$255K,$0.00,$0M,463 kW,0,538080
GSEDS-1_Secondary_Non-Demand,Strip Mall,Helena,1,0 kWh,0 kW,0,524626,$89K,$0.00,$0M,162 kW,0,214965
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Medium Office,Anaheim,1,119 kWh,47 kW,561288,518121,$208K,$36.38,$0M,280 kW,209171,240972
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Large Office,Atlanta,1,0 kWh,0 kW,0,5348590,$0K,$0.00,$0M,0 kW,0,0
Schedule_MDD_-_Medium_Network_General_Service,Small Hotel,Seattle,1,0 kWh,0 kW,66035.6,499275,$0K,$4.54,$0M,0 kW,0,0
OGS-TOU-NEM,Large Hotel,LasVegas,1,0 kWh,0 kW,0,1560770,$126K,$0.00,$0M,229 kW,0,209400
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Fast Food,Boulder,1,0 kWh,0 kW,15832.7,165723,$21K,$4.84,$0M,38 kW,591.4,48421
E-36_Standard_Price_Plan_for_General_Service,Midrise Apartment,Phoenix,1,0 kWh,0 kW,44252.8,227250,$19K,$6.76,$0M,34 kW,1520.4,34182
GSEDS-1_Secondary_Demand,Midrise Apartment,Helena,1,0 kWh,0 kW,52425,179144,$16K,$9.41,$0M,30 kW,1385.4,28290
Schedule_MDD_-_Medium_Network_General_Service,Secondary School,Seattle,1,0 kWh,0 kW,288372,1642590,$0K,$4.54,$0M,0 kW,0,0
BES-Small_Load_Delivery_Class_(Secondary),Large Hotel,Chicago,1,0 kWh,0 kW,322924,1461900,$0K,$6.18,$0M,0 kW,0,0
GSEDS-1_Primary_Non-Demand,Outpatient,Helena,1,0 kWh,0 kW,0,1394450,$202K,$0.00,$0M,368 kW,0,417749
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Warehouse,Atlanta,1,0 kWh,0 kW,74485.3,119400,$5K,$15.66,$0M,9 kW,2597.4,5788
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Small Hotel,San Francisco,1,78 kWh,22 kW,192288,863641,$110K,$16.78,$0M,147 kW,30002,276205
BES-Large_Load_Delivery_Class_(Secondary),Strip Mall,Chicago,1,0 kWh,0 kW,87208.4,308644,$0K,$6.73,$0M,0 kW,31.4,146
3B_General_Power_TOU_(PNM-Owned_Transformer),Small Hotel,Albuquerque,1,12 kWh,9 kW,140070,381451,$58K,$17.47,$0M,90 kW,12903,91142
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Warehouse,Anaheim,1,12 kWh,5 kW,47659.1,195487,$45K,$9.97,$0M,71 kW,11842.6,109779.5
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Strip Mall,New York,1,111 kWh,29 kW,420783,427744,$152K,$41.95,$0M,202 kW,143222,204815
4B_Large_Power_TOU_(PNM-Owned_Transformer),Large Office,Albuquerque,1,93 kWh,74 kW,1605050,3077640,$601K,$17.47,$0M,972 kW,366030,793010
3B_General_Power_TOU_(PNM-Owned_Transformer),Midrise Apartment,Albuquerque,1,0 kWh,0 kW,15649.9,139431,$16K,$17.47,$0M,29 kW,1702.2,28904
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,Primary School,LasVegas,1,0 kWh,0 kW,318661,595632,$74K,$16.49,$0M,135 kW,39867,108710
LGS-1_-_Large_General_Service,Small Hotel,LasVegas,1,0 kWh,0 kW,142125,439085,$40K,$8.57,$0M,73 kW,0,67097
GSDT-1_(General_Service_Demand_-Time-Of-Use),Fast Food,Miami,1,0 kWh,0 kW,41764.8,99632.2,$0K,$9.20,$0M,0 kW,119.2,234.7
