Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Small Office,New York,1,54 kWh,8 kW,69711.1,72971.6,$33K,$41.95,$0M,47 kW,36605.7,41344.5
A-6_Small_General_Service_TOU_Single_Phase,Small Hotel,San Francisco,1,817 kWh,101 kW,0,1389800,$318K,$0.00,$0M,336 kW,0,944372
Large_Light_&_Power_-_Primary_voltage_discount,Large Hotel,Minneapolis,1,0 kWh,0 kW,0,1371950,$0K,$7.55,$0M,0 kW,0,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),Large Office,Seattle,1,0 kWh,0 kW,581365,4322940,$74K,$3.83,$0M,153 kW,12311,115020
Small_General_Service_Metered_(A10),Small Hotel,Duluth,1,0 kWh,0 kW,0,709329,$58K,$0.00,$0M,120 kW,0,136423
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Secondary School,Seattle,1,0 kWh,0 kW,147362,1455040,$0K,$2.32,$0M,0 kW,0,0
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Warehouse,Anaheim,1,38 kWh,9 kW,63099.4,174820,$48K,$13.20,$0M,78 kW,21626,110114.2
BES-Large_Load_Delivery_Class_(Secondary),Outpatient,Chicago,1,0 kWh,0 kW,225282,966539,$40K,$6.73,$0M,83 kW,5797,62329
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Primary School,Anaheim,1,463 kWh,81 kW,801982,805021,$328K,$38.02,$0M,466 kW,446038,458695
SC-9_-_General_Large_Low_Tension_Service_[NYC],Primary School,New York,1,0 kWh,0 kW,0,1246530,$167K,$21.82,$0M,347 kW,0,422790
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Secondary School,Anaheim,1,"1,075 kWh",187 kW,1337380,2695240,$834K,$15.57,$1M,"1,231 kW",644020,1822728
LGS-1_-_Large_General_Service,Large Hotel,LasVegas,1,0 kWh,0 kW,495121,1480860,$154K,$8.57,$0M,320 kW,0,288710
Small_General_Time-of-Day_Service_(A12),Small Office,Duluth,1,0 kWh,0 kW,0,85085.8,$14K,$0.00,$0M,28 kW,0,33938.3
Schedule_MDC_-_Medium_Standard_General_Service_City,Retail Store,Seattle,1,0 kWh,0 kW,25852.3,266096,$0K,$2.32,$0M,0 kW,0,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,Secondary School,Seattle,1,0 kWh,0 kW,147362,1409630,$0K,$2.32,$0M,0 kW,0,0
3B_General_Power_TOU_(PNM-Owned_Transformer),Hospital,Albuquerque,1,464 kWh,213 kW,2129230,4477310,"$1,126K",$17.47,$0M,"1,936 kW",503830,1902870
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Restaurant,San Francisco,1,92 kWh,14 kW,73704.5,402636,$67K,$16.78,$0M,99 kW,23092.4,171545
BES-Small_Load_Delivery_Class_(Secondary),Medium Office,Chicago,1,0 kWh,0 kW,181991,592769,$10K,$6.18,$0M,21 kW,1723,15623
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Small Hotel,San Francisco,1,461 kWh,70 kW,383824,618162,$209K,$34.72,$0M,233 kW,194877,301451
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Small Hotel,San Francisco,1,336 kWh,56 kW,246273,762725,$173K,$17.58,$0M,207 kW,94154,388312
GSEDS-1_Secondary_Non-Demand,Supermarket,Helena,1,0 kWh,0 kW,0,2051790,$275K,$0.00,$0M,572 kW,0,752260
GSEDS-1_Secondary_Non-Demand,Fast Food,Helena,1,0 kWh,0 kW,0,193680,$21K,$0.00,$0M,44 kW,0,58243
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),Hospital,LasVegas,1,0 kWh,0 kW,1662760,4159200,$758K,$16.30,$0M,"1,578 kW",205250,1254320
General_Service_(A14),Small Hotel,Duluth,1,0 kWh,0 kW,191137,398209,$0K,$14.98,$0M,0 kW,0,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Midrise Apartment,Anaheim,1,131 kWh,25 kW,143530,171793,$67K,$38.02,$0M,75 kW,68728.9,80096.4
Schedule_MDC_-_Medium_Standard_General_Service_City,Warehouse,Seattle,1,0 kWh,0 kW,12777.7,122758,$0K,$2.32,$0M,0 kW,0,0
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Retail Store,Anaheim,1,176 kWh,30 kW,128808,554336,$145K,$9.97,$0M,219 kW,54649.9,379396
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Secondary School,Boulder,1,114 kWh,48 kW,1287350,784612,$156K,$18.90,$0M,230 kW,183910,108016
BES-Large_Load_Delivery_Class_(Secondary),Large Office,Chicago,1,0 kWh,0 kW,1115840,3877110,$157K,$6.73,$0M,327 kW,34540,245900
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Primary School,Los Angeles,1,314 kWh,62 kW,491061,957089,$298K,$17.48,$0M,463 kW,270761,515241
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Supermarket,Seattle,1,0 kWh,0 kW,84094.8,1194410,$0K,$2.32,$0M,0 kW,0,0
Small_General_Service_Metered_(A10),Large Office,Duluth,1,0 kWh,0 kW,0,5712320,$779K,$0.00,$0M,"1,622 kW",0,1677600
Schedule_MDD_-_Medium_Network_General_Service,Strip Mall,Seattle,1,0 kWh,0 kW,51286.8,331303,$12K,$4.54,$0M,25 kW,2088.4,18678
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Medium Office,Anaheim,1,362 kWh,67 kW,559397,600770,$264K,$34.91,$0M,375 kW,282817,361690
Large_Light_&_Power_-_Primary_voltage_discount,Strip Mall,Minneapolis,1,0 kWh,0 kW,0,295036,$0K,$7.55,$0M,0 kW,0,0
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Primary School,Anaheim,1,388 kWh,72 kW,788992,666177,$299K,$36.38,$0M,433 kW,413821,359651
Small_General_Service_Metered_(A10),Retail Store,Duluth,1,0 kWh,0 kW,0,502035,$78K,$0.00,$0M,162 kW,0,183606
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Secondary School,Atlanta,1,0 kWh,0 kW,1069300,1691890,$141K,$15.66,$0M,293 kW,83996,187140
BES-Small_Load_Delivery_Class_(Secondary),Secondary School,Chicago,1,0 kWh,0 kW,514867,1563540,$80K,$6.18,$0M,166 kW,26252,124270
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Small Office,Atlanta,1,0 kWh,0 kW,27378.6,51037.2,$2K,$15.66,$0M,5 kW,1318.4,3188.4
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Strip Mall,Anaheim,1,176 kWh,31 kW,131973,558941,$146K,$9.97,$0M,220 kW,59088.1,381048
GSEDS-1_Primary_Demand,Outpatient,Helena,1,0 kWh,0 kW,264415,1088350,$165K,$7.90,$0M,344 kW,25505,308090
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Small Hotel,Phoenix,1,0 kWh,0 kW,106889,589592,$72K,$6.65,$0M,149 kW,1369,151977
GSEDS-1_Primary_Demand,Large Office,Helena,1,0 kWh,0 kW,1191160,4166100,$559K,$7.90,$0M,"1,164 kW",113580,999290
BES-Medium_Load_Delivery_Class_(Secondary),Hospital,Chicago,1,0 kWh,0 kW,958188,5216790,$68K,$6.29,$0M,143 kW,12683,107170
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Small Hotel,Anaheim,1,224 kWh,42 kW,198144,658171,$147K,$13.20,$0M,197 kW,57408,310097
Large_Light_&_Power_-_Primary_voltage_discount,Small Hotel,Minneapolis,1,0 kWh,0 kW,0,446713,$0K,$7.55,$0M,0 kW,0,0
2A_(Small_Power_Service),Small Office,Albuquerque,1,0 kWh,0 kW,0,89940.7,$14K,$0.00,$0M,29 kW,0,38947.6
Schedule_MDD_-_Medium_Network_General_Service,Primary School,Seattle,1,0 kWh,0 kW,113605,707625,$36K,$4.54,$0M,75 kW,7976,56485
A-6_Small_General_Service_TOU_Single_Phase,Hospital,San Francisco,1,"7,284 kWh",871 kW,0,16224000,"$3,351K",$0.00,$4M,"4,121 kW",0,11934940
3B_General_Power_TOU_(PNM-Owned_Transformer),Outpatient,Albuquerque,1,139 kWh,71 kW,444772,896443,$264K,$17.47,$0M,418 kW,172154,402794
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),Large Office,LasVegas,1,0 kWh,0 kW,1803260,3197920,$629K,$16.30,$0M,"1,309 kW",284680,969430
BES-Large_Load_Delivery_Class_(Secondary),Warehouse,Chicago,1,0 kWh,0 kW,46700.7,149727,$3K,$6.73,$0M,7 kW,661,5390
BES-Large_Load_Delivery_Class_(Secondary),Small Office,Chicago,1,0 kWh,0 kW,15091.8,52498.7,$2K,$6.73,$0M,4 kW,388.1,2795.3
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Midrise Apartment,Atlanta,1,0 kWh,0 kW,80574.5,162364,$0K,$15.66,$0M,0 kW,0,0
A-6_Small_General_Service_TOU_Single_Phase,Retail Store,San Francisco,1,369 kWh,48 kW,0,1003760,$200K,$0.00,$0M,266 kW,0,806334
GS-2_(S)_Large_General_Service_Secondary,Outpatient,Fairbanks,1,148 kWh,34 kW,376861,2607740,$309K,$11.06,$0M,562 kW,63874,753540
Schedule_MDD_-_Medium_Network_General_Service,Secondary School,Seattle,1,0 kWh,0 kW,288372,1642590,$77K,$4.54,$0M,161 kW,16328,121130
OGS-TOU-NEM,Retail Store,LasVegas,1,0 kWh,0 kW,0,349938,$62K,$0.00,$0M,130 kW,0,116459
Schedule_MDB-_Medium_Standard_General_Service_Burien,Restaurant,Seattle,1,0 kWh,0 kW,12731.1,196808,$0K,$2.32,$0M,0 kW,0,0
LGS-1_-_Large_General_Service,Hospital,LasVegas,1,0 kWh,0 kW,1359410,4836860,$834K,$8.57,$0M,"1,735 kW",114680,1548550
GSEDS-1_Primary_Non-Demand,Strip Mall,Helena,1,0 kWh,0 kW,0,447689,$76K,$0.00,$0M,158 kW,0,180548
SC-9_-_General_Large_Low_Tension_Service_[NYC],Large Hotel,New York,1,0 kWh,0 kW,0,2932350,$267K,$21.82,$0M,556 kW,0,719190
General_Service_(A14),Restaurant,Duluth,1,0 kWh,0 kW,67941.5,168787,$0K,$14.98,$0M,0 kW,0,0
3B_General_Power_TOU_(PNM-Owned_Transformer),Primary School,Albuquerque,1,52 kWh,24 kW,347398,613618,$166K,$17.47,$0M,299 kW,111051,265869
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Small Hotel,Seattle,1,0 kWh,0 kW,33745.1,443467,$0K,$2.32,$0M,0 kW,0,0
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Small Hotel,San Francisco,1,516 kWh,72 kW,192288,889146,$226K,$16.78,$0M,254 kW,91612,432233
General_Service_(A14),Small Office,Duluth,1,0 kWh,0 kW,25882.6,44333.8,$2K,$14.98,$0M,5 kW,1198,3322.6
A-6_Small_General_Service_TOU_Single_Phase,Large Office,San Francisco,1,"5,610 kWh",736 kW,0,13741400,"$2,929K",$0.00,$4M,"3,805 kW",0,10932720
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Hospital,Anaheim,1,"1,878 kWh",353 kW,2333560,7805370,"$1,759K",$15.57,$1M,"2,742 kW",745260,4369700
GSEDS-1_Primary_Demand,Hospital,Helena,1,0 kWh,0 kW,1158300,5599580,$805K,$7.90,$0M,"1,675 kW",101670,1535630
OGS-TOU-NEM,Hospital,LasVegas,1,0 kWh,0 kW,0,4845280,$829K,$0.00,$0M,"1,726 kW",0,1554860
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Outpatient,New York,1,686 kWh,112 kW,985413,1375560,$463K,$41.95,$0M,652 kW,437036,643881
GSDT-1_(General_Service_Demand_-Time-Of-Use),Midrise Apartment,Miami,1,0 kWh,0 kW,95891.9,191041,$0K,$9.20,$0M,0 kW,0,0
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,Hospital,Phoenix,1,0 kWh,0 kW,446054,4863880,$793K,$4.12,$0M,"1,651 kW",46779,1427590
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Primary School,Seattle,1,0 kWh,0 kW,58053.5,626827,$0K,$2.32,$0M,0 kW,0,0
E-36_Standard_Price_Plan_for_General_Service,Outpatient,Phoenix,1,0 kWh,0 kW,200751,1110710,$200K,$6.76,$0M,416 kW,35786,394780
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Outpatient,Anaheim,1,544 kWh,94 kW,858507,1099300,$404K,$38.02,$0M,585 kW,414955,610859
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Retail Store,San Francisco,1,273 kWh,39 kW,150935,569885,$167K,$16.78,$0M,231 kW,78440.9,392393
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Medium Office,Boulder,1,34 kWh,18 kW,481085,284311,$21K,$18.90,$0M,11 kW,32576,5042
BES-Medium_Load_Delivery_Class_(Secondary),Supermarket,Chicago,1,0 kWh,0 kW,253153,1233140,$60K,$6.29,$0M,125 kW,14407,93600
Large_Light_&_Power_-_Primary_voltage_discount,Small Office,Minneapolis,1,0 kWh,0 kW,0,49547,$0K,$7.55,$0M,0 kW,0,0
Schedule_G_-_Secondary,Primary School,Baltimore,1,0 kWh,0 kW,0,1173900,$159K,$0.00,$0M,331 kW,0,383170
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Supermarket,Phoenix,1,0 kWh,0 kW,260188,1393910,$245K,$6.65,$0M,510 kW,32365,524761
GSEDS-1_Secondary_Non-Demand,Small Office,Helena,1,0 kWh,0 kW,0,87748.2,$13K,$0.00,$0M,27 kW,0,30953.7
Schedule_G_-_Secondary,Outpatient,Baltimore,1,0 kWh,0 kW,0,1768540,$226K,$0.00,$0M,471 kW,0,593980
GS-1_General_Service,Small Office,Fairbanks,1,0 kWh,0 kW,0,136771,$15K,$0.00,$0M,32 kW,0,38874.9
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Strip Mall,Boulder,1,15 kWh,6 kW,211746,159080,$12K,$18.90,$0M,14 kW,14611,6450
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Outpatient,Seattle,1,0 kWh,0 kW,69748.4,914076,$0K,$2.32,$0M,0 kW,0,0
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Fast Food,New York,1,66 kWh,11 kW,110714,163422,$44K,$41.95,$0M,61 kW,37302.3,62484
Large_Light_&_Power_-_Primary_voltage_discount,Midrise Apartment,Minneapolis,1,0 kWh,0 kW,0,154206,$0K,$7.55,$0M,0 kW,0,0
BES-Large_Load_Delivery_Class_(Secondary),Secondary School,Chicago,1,0 kWh,0 kW,560689,1563540,$83K,$6.73,$0M,173 kW,29294,129040
SC-9_-_General_Large_TOD_Service_[NYC],Large Office,New York,1,"6,159 kWh",740 kW,7658200,5025000,"$3,202K",$54.31,$2M,"4,245 kW",4447730,3259730
GSEDS-1_Secondary_Demand,Large Office,Helena,1,0 kWh,0 kW,1419300,4256430,$636K,$9.41,$0M,"1,325 kW",145150,1143110
General_Service_With_Demand_Meter_(Rate_Code_25),Small Hotel,Minneapolis,1,0 kWh,0 kW,94913.5,556164,$48K,$5.86,$0M,99 kW,0,91945
GSEDS-1_Primary_Non-Demand,Retail Store,Helena,1,0 kWh,0 kW,0,475650,$82K,$0.00,$0M,170 kW,0,195418
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Medium Office,Seattle,1,0 kWh,0 kW,60768.6,559841,$0K,$2.32,$0M,0 kW,0,0
GSEDS-1_Primary_Non-Demand,Small Hotel,Helena,1,0 kWh,0 kW,0,648913,$58K,$0.00,$0M,120 kW,0,137550
GS-2_(S)_Large_General_Service_Secondary,Warehouse,Fairbanks,1,45 kWh,10 kW,80198.2,458799,$70K,$11.06,$0M,120 kW,16266.1,150960
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Strip Mall,San Francisco,1,278 kWh,42 kW,195888,577398,$166K,$17.58,$0M,224 kW,101850.8,429696
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Large Office,LasVegas,1,0 kWh,0 kW,1244510,3922530,$742K,$12.47,$0M,"1,545 kW",194500,1322710
GSEDS-1_Secondary_Demand,Large Hotel,Helena,1,0 kWh,0 kW,454264,1592660,$149K,$9.41,$0M,309 kW,1353,294100
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Outpatient,San Francisco,1,605 kWh,93 kW,515539,1652210,$406K,$17.58,$0M,579 kW,229463,1067804
GSD-1_(General_Service_Demand),Small Office,Miami,1,0 kWh,0 kW,30077.7,48173,$4K,$10.60,$0M,8 kW,2088.4,4654.4
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Strip Mall,San Francisco,1,289 kWh,42 kW,152863,594110,$171K,$16.78,$0M,232 kW,83239.7,418796
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Large Hotel,Seattle,1,0 kWh,0 kW,110902,1410070,$0K,$2.32,$0M,0 kW,0,0
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Warehouse,San Francisco,1,169 kWh,23 kW,136214,172023,$85K,$34.72,$0M,106 kW,95198.4,121565.6
SC-9_-_General_Large_Low_Tension_Service_[NYC],Fast Food,New York,1,0 kWh,0 kW,0,223120,$23K,$21.82,$0M,49 kW,0,67549
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Supermarket,Anaheim,1,382 kWh,85 kW,917052,1321010,$398K,$34.91,$0M,622 kW,327665,664452
GSEDS-1_Primary_Demand,Retail Store,Helena,1,0 kWh,0 kW,101965,371241,$72K,$7.90,$0M,150 kW,11019.9,138032
Small_General_Service_Metered_(A10),Primary School,Duluth,1,0 kWh,0 kW,0,922888,$115K,$0.00,$0M,239 kW,0,242308
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Large Hotel,Anaheim,1,886 kWh,159 kW,787000,2151870,$528K,$15.57,$0M,676 kW,254267,1074620
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Fast Food,Boulder,1,0 kWh,0 kW,15832.7,165723,$19K,$4.84,$0M,41 kW,597.1,50381
GSD-1_(General_Service_Demand),Primary School,Miami,1,0 kWh,0 kW,444645,634753,$68K,$10.60,$0M,141 kW,50053,86358
BES-Medium_Load_Delivery_Class_(Secondary),Small Office,Chicago,1,0 kWh,0 kW,14105.1,52498.7,$2K,$6.29,$0M,4 kW,350.3,2686.1
GSD-1_(General_Service_Demand),Fast Food,Miami,1,0 kWh,0 kW,42701.2,99884,$2K,$10.60,$0M,4 kW,1326.8,2188.7
Small_General_Service_Metered_(A10),Secondary School,Duluth,1,0 kWh,0 kW,0,2196360,$280K,$0.00,$0M,583 kW,0,581240
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Strip Mall,Boulder,1,0 kWh,0 kW,60066.8,418864,$70K,$4.84,$0M,147 kW,5737.5,176495
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Small Office,Atlanta,1,0 kWh,0 kW,0,69285.7,$4K,$0.00,$0M,9 kW,0,7399.8
Schedule_MDD_-_Medium_Network_General_Service,Supermarket,Seattle,1,0 kWh,0 kW,164565,1344720,$33K,$4.54,$0M,68 kW,5537,51280
Schedule_MDC_-_Medium_Standard_General_Service_City,Small Hotel,Seattle,1,0 kWh,0 kW,33745.1,405061,$0K,$2.32,$0M,0 kW,0,0
A-6_Small_General_Service_TOU_Single_Phase,Small Office,San Francisco,1,69 kWh,9 kW,0,173289,$36K,$0.00,$0M,47 kW,0,133507.8
GSEDS-1_Secondary_Non-Demand,Medium Office,Helena,1,0 kWh,0 kW,0,969700,$127K,$0.00,$0M,264 kW,0,310706
GSDT-1_(General_Service_Demand_-Time-Of-Use),Fast Food,Miami,1,0 kWh,0 kW,41764.8,99632.2,$1K,$9.20,$0M,1 kW,377.2,859.3
GSEDS-1_Secondary_Non-Demand,Large Office,Helena,1,0 kWh,0 kW,0,6255120,$956K,$0.00,$0M,"1,990 kW",0,2336670
3B_General_Power_TOU_(PNM-Owned_Transformer),Warehouse,Albuquerque,1,0 kWh,0 kW,17314.1,127228,$31K,$17.47,$0M,65 kW,12435.29,56346.8
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Fast Food,Boulder,1,1 kWh,0 kW,55781,60765.3,$1K,$18.90,$0M,1 kW,1285.1,596.6
A-6_Small_General_Service_TOU_Single_Phase,Large Hotel,San Francisco,1,"2,827 kWh",347 kW,0,4418220,"$1,077K",$0.00,$1M,"1,120 kW",0,3122500
BES-Medium_Load_Delivery_Class_(Secondary),Midrise Apartment,Chicago,1,0 kWh,0 kW,38099.2,161657,$0K,$6.29,$0M,0 kW,0,0
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Primary School,Boulder,1,0 kWh,0 kW,134703,873673,$132K,$4.84,$0M,275 kW,19890,290292
Schedule_G_-_Secondary,Medium Office,Baltimore,1,0 kWh,0 kW,0,1030440,$137K,$0.00,$0M,285 kW,0,337421
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Large Office,Los Angeles,1,"2,081 kWh",423 kW,2577220,5797630,"$1,872K",$17.48,$1M,"2,832 kW",1253120,3317500
Power_and_Light_Medium_Schedule_PLM-11,Restaurant,Atlanta,1,0 kWh,0 kW,0,153356,$0K,$0.00,$0M,0 kW,0,0
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Restaurant,Atlanta,1,0 kWh,0 kW,72590.9,192286,$2K,$15.66,$0M,5 kW,718.8,3106
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Midrise Apartment,LasVegas,1,0 kWh,0 kW,60986.8,212614,$17K,$12.47,$0M,35 kW,1029.3,32312
BES-Small_Load_Delivery_Class_(Secondary),Large Office,Chicago,1,0 kWh,0 kW,1024650,3877110,$151K,$6.18,$0M,315 kW,30948,236880
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Retail Store,Seattle,1,0 kWh,0 kW,25852.3,290537,$0K,$2.32,$0M,0 kW,0,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Supermarket,LasVegas,1,0 kWh,0 kW,303980,1181910,$212K,$12.47,$0M,440 kW,29655,405786
OGS-TOU-NEM,Small Office,LasVegas,1,0 kWh,0 kW,0,59603.9,$7K,$0.00,$0M,14 kW,0,12004
General_Service_With_Demand_Meter_(Rate_Code_25),Large Hotel,Minneapolis,1,0 kWh,0 kW,305880,1708100,$135K,$5.86,$0M,280 kW,976,259880
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Restaurant,Anaheim,1,47 kWh,10 kW,87251.5,317443,$57K,$13.20,$0M,94 kW,25249.9,149072
SC-9_-_General_Large_Low_Tension_Service_[NYC],Small Office,New York,1,0 kWh,0 kW,0,99628.5,$14K,$21.82,$0M,30 kW,0,35554.8
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Hospital,Atlanta,1,0 kWh,0 kW,0,6670950,$847K,$0.00,$0M,"1,762 kW",0,1551730
GSEDS-1_Secondary_Demand,Small Office,Helena,1,0 kWh,0 kW,19879.5,59710.2,$8K,$9.41,$0M,16 kW,2195.1,13401.7
General_Service_With_Demand_Meter_(Rate_Code_25),Restaurant,Minneapolis,1,0 kWh,0 kW,34934.7,237610,$28K,$5.86,$0M,58 kW,1169.1,53909
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Midrise Apartment,Boulder,1,3 kWh,1 kW,97721.6,82082.5,$1K,$18.90,$0M,0 kW,2111.9,86.2
Schedule_G_-_Secondary,Midrise Apartment,Baltimore,1,0 kWh,0 kW,0,297539,$24K,$0.00,$0M,50 kW,0,62497
General_Service_(A14),Fast Food,Duluth,1,0 kWh,0 kW,37965.2,97245.5,$0K,$14.98,$0M,0 kW,0,0
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Midrise Apartment,Boulder,1,0 kWh,0 kW,27609.9,219605,$18K,$4.84,$0M,37 kW,569,44777
GSEDS-1_Primary_Demand,Restaurant,Helena,1,0 kWh,0 kW,44752.3,225729,$30K,$7.90,$0M,62 kW,2974.7,57209
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Midrise Apartment,New York,1,240 kWh,35 kW,226778,231554,$101K,$41.95,$0M,107 kW,110394,104704
BES-Medium_Load_Delivery_Class_(Secondary),Large Office,Chicago,1,0 kWh,0 kW,1042890,3877110,$152K,$6.29,$0M,316 kW,31530,237170
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),Hospital,San Francisco,1,"3,270 kWh",490 kW,3809730,6661530,"$2,068K",$33.72,$1M,"2,881 kW",1752160,3567490
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Retail Store,Anaheim,1,235 kWh,44 kW,331408,358678,$162K,$38.02,$0M,222 kW,180699,240760
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Retail Store,Atlanta,1,0 kWh,0 kW,160886,313579,$22K,$15.66,$0M,46 kW,10261,30737
BES-Large_Load_Delivery_Class_(Secondary),Medium Office,Chicago,1,0 kWh,0 kW,198188,592769,$10K,$6.73,$0M,21 kW,1877,15623
LGS-1_-_Large_General_Service,Strip Mall,LasVegas,1,0 kWh,0 kW,121617,293090,$63K,$8.57,$0M,130 kW,11880,114736
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Fast Food,Atlanta,1,0 kWh,0 kW,38019.5,106175,$1K,$15.66,$0M,1 kW,231.5,839
LGS-1_-_Large_General_Service,Medium Office,LasVegas,1,0 kWh,0 kW,250638,517736,$100K,$8.57,$0M,209 kW,30729,170205
SC-9_-_General_Large_Low_Tension_Service_[NYC],Small Hotel,New York,1,0 kWh,0 kW,0,888102,$77K,$21.82,$0M,161 kW,0,213750
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Primary School,Boulder,1,24 kWh,10 kW,473343,327273,$45K,$18.90,$0M,74 kW,51142,35392
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Medium Office,Boulder,1,0 kWh,0 kW,138498,758889,$108K,$4.84,$0M,225 kW,8098,245862
GSEDS-1_Primary_Non-Demand,Hospital,Helena,1,0 kWh,0 kW,0,7174430,$928K,$0.00,$0M,"1,932 kW",0,2199630
BES-Medium_Load_Delivery_Class_(Secondary),Restaurant,Chicago,1,0 kWh,0 kW,38048.1,203169,$4K,$6.29,$0M,8 kW,689.9,6189
Schedule_MDD_-_Medium_Network_General_Service,Retail Store,Seattle,1,0 kWh,0 kW,50590.3,327988,$11K,$4.54,$0M,23 kW,1821.6,17678
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Fast Food,Anaheim,1,19 kWh,4 kW,33996.1,188865,$28K,$9.97,$0M,49 kW,7361.5,85162
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Midrise Apartment,Anaheim,1,77 kWh,14 kW,54007.4,256311,$52K,$9.97,$0M,70 kW,16932.4,120672
