Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
Schedule_MDB-_Medium_Standard_General_Service_Burien,Small Hotel,Seattle,1,0 kWh,0 kW,33745.1,428465,$0K,$2.32,$0M,0 kW,0,0
GSLD-1_(General_Service_Large_Demand),Secondary School,Miami,1,11 kWh,9 kW,1604240,1651320,$192K,$12.56,$0M,384 kW,161400,213210
A-6_Small_General_Service_TOU_Single_Phase,Midrise Apartment,San Francisco,1,295 kWh,36 kW,0,461263,$112K,$0.00,$0M,116 kW,0,321267
Schedule_MDD_-_Medium_Network_General_Service,Midrise Apartment,Seattle,1,0 kWh,0 kW,23920.6,170696,$0K,$4.54,$0M,0 kW,0,0
General_Service_With_Demand_Meter_(Rate_Code_25),Large Office,Minneapolis,1,0 kWh,0 kW,946357,4528380,$588K,$5.86,$0M,"1,224 kW",94135,1049810
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Restaurant,Los Angeles,1,47 kWh,10 kW,97555.1,298486,$56K,$17.48,$0M,92 kW,33563.2,119201
Schedule_GL_(Secondary_Voltage),Large Hotel,Baltimore,1,0 kWh,0 kW,335034,1852770,$157K,$6.15,$0M,326 kW,0,308180
Schedule_GL_(Secondary_Voltage),Small Hotel,Baltimore,1,0 kWh,0 kW,97976.8,559441,$51K,$6.15,$0M,105 kW,0,99791
GSEDS-1_Secondary_Demand,Warehouse,Helena,1,0 kWh,0 kW,63736.7,178856,$25K,$9.41,$0M,52 kW,6795.4,42722
A-6_Small_General_Service_TOU_Single_Phase,Restaurant,San Francisco,1,346 kWh,41 kW,0,642668,$144K,$0.00,$0M,165 kW,0,466358
Schedule_MDD_-_Medium_Network_General_Service,Outpatient,Seattle,1,0 kWh,0 kW,136490,1031900,$34K,$4.54,$0M,70 kW,4908,53033
Large_Light_&_Power_-_Primary_voltage_discount,Large Office,Minneapolis,1,0 kWh,0 kW,0,3637210,$0K,$7.55,$0M,0 kW,0,0
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Primary School,Anaheim,1,237 kWh,45 kW,363882,1088930,$276K,$11.05,$0M,458 kW,150015,632364
GSEDS-1_Secondary_Demand,Fast Food,Helena,1,0 kWh,0 kW,29785.4,131794,$17K,$9.41,$0M,36 kW,1169.3,34313.4
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Restaurant,San Francisco,1,114 kWh,18 kW,155419,283560,$72K,$34.72,$0M,99 kW,58513.7,131751
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Medium Office,Los Angeles,1,290 kWh,61 kW,344496,736716,$245K,$17.48,$0M,359 kW,179813,415056
E-36_Standard_Price_Plan_for_General_Service,Large Office,Phoenix,1,0 kWh,0 kW,852223,4331260,$793K,$6.76,$0M,"1,650 kW",114426,1501440
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Fast Food,LasVegas,1,0 kWh,0 kW,27910.9,118212,$18K,$12.47,$0M,38 kW,507.1,35328.6
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Small Hotel,Boulder,1,0 kWh,0 kW,73088.8,642410,$57K,$4.84,$0M,118 kW,0,142974
BES-Small_Load_Delivery_Class_(Secondary),Warehouse,Chicago,1,0 kWh,0 kW,42884.2,149727,$3K,$6.18,$0M,7 kW,576.9,5085
Small_General_Service_(A-1)(A),Small Office,Los Angeles,1,6 kWh,1 kW,17925.7,97116.1,$18K,$7.48,$0M,34 kW,4993.1,46109.3
2B_Small_Power_Service_-_TOU,Small Office,Albuquerque,1,16 kWh,2 kW,0,117324,$22K,$0.00,$0M,38 kW,0,76360.8
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Secondary School,New York,1,"2,764 kWh",457 kW,2974440,2287350,"$1,380K",$41.95,$1M,"1,609 kW",1613550,1450744
Schedule_MDC_-_Medium_Standard_General_Service_City,Secondary School,Seattle,1,0 kWh,0 kW,147362,1332630,$0K,$2.32,$0M,0 kW,0,0
GS-2_(S)_Large_General_Service_Secondary,Supermarket,Fairbanks,1,79 kWh,19 kW,412645,3272480,$376K,$11.06,$0M,738 kW,69556,1007830
LGS-1_-_Large_General_Service,Midrise Apartment,LasVegas,1,0 kWh,0 kW,63880.7,178447,$14K,$8.57,$0M,30 kW,712.9,27221
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Retail Store,LasVegas,1,0 kWh,0 kW,107169,347246,$71K,$12.47,$0M,149 kW,12757.5,134122
3B_General_Power_TOU_(PNM-Owned_Transformer),Supermarket,Albuquerque,1,58 kWh,24 kW,462980,1058160,$235K,$17.47,$0M,442 kW,87989,440570
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Supermarket,Anaheim,1,345 kWh,64 kW,408262,1846380,$387K,$11.05,$0M,638 kW,122264,1006012
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Restaurant,Seattle,1,0 kWh,0 kW,12731.1,203147,$0K,$2.32,$0M,0 kW,0,0
GSEDS-1_Primary_Non-Demand,Secondary School,Helena,1,0 kWh,0 kW,0,2096260,$311K,$0.00,$0M,647 kW,0,641640
BES-Medium_Load_Delivery_Class_(Secondary),Retail Store,Chicago,1,0 kWh,0 kW,81789.6,312438,$15K,$6.29,$0M,32 kW,2647.4,23895
BES-Medium_Load_Delivery_Class_(Secondary),Small Hotel,Chicago,1,0 kWh,0 kW,99299.9,462529,$0K,$6.29,$0M,0 kW,0,0
Schedule_G_-_Secondary,Strip Mall,Baltimore,1,0 kWh,0 kW,0,549816,$86K,$0.00,$0M,178 kW,0,227291
OGS-TOU-NEM,Secondary School,LasVegas,1,0 kWh,0 kW,0,2155040,$170K,$0.00,$0M,355 kW,0,311330
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Large Office,Phoenix,1,0 kWh,0 kW,1064400,5036200,$994K,$6.65,$0M,"2,068 kW",198896,1972130
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Hospital,Atlanta,1,0 kWh,0 kW,1700510,4840090,$89K,$15.66,$0M,185 kW,44650,122540
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Midrise Apartment,Atlanta,1,0 kWh,0 kW,0,225661,$15K,$0.00,$0M,32 kW,0,27898
SC-9_-_General_Large_Low_Tension_Service_[NYC],Secondary School,New York,1,0 kWh,0 kW,0,3122940,$424K,$21.82,$0M,883 kW,0,1051810
Schedule_G_-_Secondary,Supermarket,Baltimore,1,0 kWh,0 kW,0,2198960,$293K,$0.00,$0M,610 kW,0,787320
OGS-TOU-NEM,Medium Office,LasVegas,1,0 kWh,0 kW,0,607281,$82K,$0.00,$0M,171 kW,0,147596
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,Hospital,Phoenix,1,0 kWh,0 kW,480950,4903670,$814K,$4.16,$0M,"1,695 kW",51682,1475380
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Retail Store,Seattle,1,0 kWh,0 kW,25852.3,291326,$0K,$2.32,$0M,0 kW,0,0
3B_General_Power_TOU_(PNM-Owned_Transformer),Retail Store,Albuquerque,1,39 kWh,17 kW,108848,290168,$86K,$17.47,$0M,146 kW,43116.9,143822
Power_and_Light_Medium_Schedule_PLM-11,Supermarket,Atlanta,1,0 kWh,0 kW,0,907332,$0K,$0.00,$0M,0 kW,0,0
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Medium Office,New York,1,582 kWh,89 kW,768283,801240,$349K,$41.95,$0M,471 kW,397524,430449
