Rate,Measure Names,Max Demand Rate ($/kW),Measure Values
A-6_Small_General_Service_TOU_Single_Phase,kWh Savings ($),$0.00,2915673.53125
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),kWh Savings ($),$0.00,300173.2
4B_Large_Power_TOU_(PNM-Owned_Transformer),kWh Savings ($),$17.47,946552.25
3B_General_Power_TOU_(PNM-Owned_Transformer),kWh Savings ($),$17.47,551615.664285714
2B_Small_Power_Service_-_TOU,kWh Savings ($),$0.00,91677.4
2A_(Small_Power_Service),kWh Savings ($),$0.00,39972.4
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Demand Charge Savings ($),$16.23,806891
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Demand Charge Savings ($),$38.02,248167.616666667
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Demand Charge Savings ($),$15.57,827634.5
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Demand Charge Savings ($),$36.38,442814.75
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Demand Charge Savings ($),$11.05,157187.75
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Demand Charge Savings ($),$34.91,452614
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),Demand Charge Savings ($),$17.81,270309.25
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Demand Charge Savings ($),$9.97,37799.1
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Demand Charge Savings ($),$30.87,94075.125
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Demand Charge Savings ($),$13.20,49625.325
Small_General_Time-of-Day_Service_(A12),Demand Charge Savings ($),$0.00,0
Small_General_Service_Time-Of-Use_(A-1)(B),Demand Charge Savings ($),$7.48,11984.08
Small_General_Service_Metered_(A10),Demand Charge Savings ($),$0.00,0
Small_General_Service_(A-1)(A),Demand Charge Savings ($),$7.48,11824.78
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Demand Charge Savings ($),$4.84,10296.638333333
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Demand Charge Savings ($),$18.90,90333.05625
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Demand Charge Savings ($),$15.66,55620.53125
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Demand Charge Savings ($),$0.00,0
Schedule_SMC_-_Small_General_Service_City,Demand Charge Savings ($),$0.00,0
Schedule_P,Demand Charge Savings ($),$5.31,71017
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Demand Charge Savings ($),$2.32,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Demand Charge Savings ($),$2.32,0
Schedule_MDD_-_Medium_Network_General_Service,Demand Charge Savings ($),$4.54,5823.65
Schedule_MDC_-_Medium_Standard_General_Service_City,Demand Charge Savings ($),$2.32,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,Demand Charge Savings ($),$2.32,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),Demand Charge Savings ($),$3.83,30452.5
Schedule_LGC_-_Large_Standard_General_Service_City,Demand Charge Savings ($),$2.08,0
Schedule_GS_Type_2_(Secondary),Demand Charge Savings ($),$0.00,0
Schedule_GL_(Secondary_Voltage),Demand Charge Savings ($),$6.15,16218.791666667
Schedule_G_-_Secondary,Demand Charge Savings ($),$0.00,0
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Demand Charge Savings ($),$41.95,779135.83125
SC-9_-_General_Large_TOD_Service_[NYC],Demand Charge Savings ($),$54.31,5122860
SC-9_-_General_Large_Low_Tension_Service_[NYC],Demand Charge Savings ($),$21.82,0
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Demand Charge Savings ($),$17.48,404780.553333333
Power_and_Light_Medium_Schedule_PLM-11,Demand Charge Savings ($),$0.00,0
Power_and_Light_Large_Schedule_PLL-11,Demand Charge Savings ($),$0.00,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Demand Charge Savings ($),$12.47,102768.8
OGS-TOU-NEM,Demand Charge Savings ($),$0.00,0
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),Demand Charge Savings ($),$16.30,368085.333333333
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,Demand Charge Savings ($),$16.49,52091
LGS-1_-_Large_General_Service,Demand Charge Savings ($),$8.57,52972.45
Large_Light_&_Power_-_Primary_voltage_discount,Demand Charge Savings ($),$7.55,0
GSLD-1_(General_Service_Large_Demand),Demand Charge Savings ($),$12.56,164891.666666667
GSEDS-1_Secondary_Non-Demand,Demand Charge Savings ($),$0.00,0
GSEDS-1_Secondary_Demand,Demand Charge Savings ($),$9.41,65367.75
GSEDS-1_Primary_Non-Demand,Demand Charge Savings ($),$0.00,0
GSEDS-1_Primary_Demand,Demand Charge Savings ($),$7.90,36127.55625
GSDT-1_(General_Service_Demand_-Time-Of-Use),Demand Charge Savings ($),$9.20,30466.825
GSD-1_(General_Service_Demand),Demand Charge Savings ($),$10.60,22760.375
GS-2_(S)_Large_General_Service_Secondary,Demand Charge Savings ($),$11.06,147116.43125
GS-1_General_Service,Demand Charge Savings ($),$0.00,0
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),Demand Charge Savings ($),$11.00,181832
General_Service_With_Demand_Meter_(Rate_Code_25),Demand Charge Savings ($),$5.86,20557.48125
General_Service_(A14),Demand Charge Savings ($),$14.98,26533.914285714
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,Demand Charge Savings ($),$4.12,56158
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,Demand Charge Savings ($),$4.16,62449.5
E-36_Standard_Price_Plan_for_General_Service,Demand Charge Savings ($),$6.76,29043.6625
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Demand Charge Savings ($),$6.65,113643.5625
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),Demand Charge Savings ($),$33.72,2088207.66666667
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),Demand Charge Savings ($),$17.58,409082
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Demand Charge Savings ($),$17.58,133112.05
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Demand Charge Savings ($),$34.72,271870.908333333
BES-Small_Load_Delivery_Class_(Secondary),Demand Charge Savings ($),$6.18,11546.91875
BES-Medium_Load_Delivery_Class_(Secondary),Demand Charge Savings ($),$6.29,11773.64375
BES-Large_Load_Delivery_Class_(Secondary),Demand Charge Savings ($),$6.73,12825.14375
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Demand Charge Savings ($),$16.78,118633.136666667
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Demand Charge Savings ($),$16.78,125950.284166667
A-6_Small_General_Service_TOU_Single_Phase,Demand Charge Savings ($),$0.00,0
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Demand Charge Savings ($),$0.00,0
4B_Large_Power_TOU_(PNM-Owned_Transformer),Demand Charge Savings ($),$17.47,427532
3B_General_Power_TOU_(PNM-Owned_Transformer),Demand Charge Savings ($),$17.47,248451.385
2B_Small_Power_Service_-_TOU,Demand Charge Savings ($),$0.00,0
2A_(Small_Power_Service),Demand Charge Savings ($),$0.00,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),NPV ($),$16.23,3670830
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),NPV ($),$38.02,1681458.9
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),NPV ($),$15.57,4805240
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),NPV ($),$36.38,854866
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),NPV ($),$11.05,1119727
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),NPV ($),$34.91,1018580
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),NPV ($),$17.81,1095529
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,NPV ($),$9.97,642034.6
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,NPV ($),$30.87,450684.7
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,NPV ($),$13.20,588873.8
Small_General_Time-of-Day_Service_(A12),NPV ($),$0.00,8290.8
Small_General_Service_Time-Of-Use_(A-1)(B),NPV ($),$7.48,24806.7
Small_General_Service_Metered_(A10),NPV ($),$0.00,1388919
Small_General_Service_(A-1)(A),NPV ($),$7.48,17922.2
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,NPV ($),$4.84,615047
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,NPV ($),$18.90,240500.3
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,NPV ($),$15.66,167094.8
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,NPV ($),$0.00,405466.3
Schedule_SMC_-_Small_General_Service_City,NPV ($),$0.00,382
Schedule_P,NPV ($),$5.31,195550
Schedule_MDT-Medium_Standard_General_Service_Tukwila,NPV ($),$2.32,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,NPV ($),$2.32,0
Schedule_MDD_-_Medium_Network_General_Service,NPV ($),$4.54,43863
Schedule_MDC_-_Medium_Standard_General_Service_City,NPV ($),$2.32,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,NPV ($),$2.32,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),NPV ($),$3.83,31130
Schedule_LGC_-_Large_Standard_General_Service_City,NPV ($),$2.08,0
Schedule_GS_Type_2_(Secondary),NPV ($),$0.00,15099.6
Schedule_GL_(Secondary_Voltage),NPV ($),$6.15,378116
Schedule_G_-_Secondary,NPV ($),$0.00,2646971.5
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],NPV ($),$41.95,5787509.9
SC-9_-_General_Large_TOD_Service_[NYC],NPV ($),$54.31,3899850
SC-9_-_General_Large_Low_Tension_Service_[NYC],NPV ($),$21.82,1392364.4
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),NPV ($),$17.48,4855346
Power_and_Light_Medium_Schedule_PLM-11,NPV ($),$0.00,0
Power_and_Light_Large_Schedule_PLL-11,NPV ($),$0.00,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,NPV ($),$12.47,1056992.5
OGS-TOU-NEM,NPV ($),$0.00,488639.2
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),NPV ($),$16.30,477580
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,NPV ($),$16.49,178489
LGS-1_-_Large_General_Service,NPV ($),$8.57,810653.5
Large_Light_&_Power_-_Primary_voltage_discount,NPV ($),$7.55,4084.300000000
GSLD-1_(General_Service_Large_Demand),NPV ($),$12.56,82400
GSEDS-1_Secondary_Non-Demand,NPV ($),$0.00,2383573.7
GSEDS-1_Secondary_Demand,NPV ($),$9.41,936004.6
GSEDS-1_Primary_Non-Demand,NPV ($),$0.00,1493636.8
GSEDS-1_Primary_Demand,NPV ($),$7.90,768673.8
GSDT-1_(General_Service_Demand_-Time-Of-Use),NPV ($),$9.20,65345.7
GSD-1_(General_Service_Demand),NPV ($),$10.60,61517.4
GS-2_(S)_Large_General_Service_Secondary,NPV ($),$11.06,4214363.8
GS-1_General_Service,NPV ($),$0.00,29781.5
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),NPV ($),$11.00,98740
General_Service_With_Demand_Meter_(Rate_Code_25),NPV ($),$5.86,672536.5
General_Service_(A14),NPV ($),$14.98,78686.1
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,NPV ($),$4.12,257240
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,NPV ($),$4.16,280180
E-36_Standard_Price_Plan_for_General_Service,NPV ($),$6.76,1123975.8
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,NPV ($),$6.65,1894760.9
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),NPV ($),$33.72,4210760
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),NPV ($),$17.58,529460
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),NPV ($),$17.58,2605638.7
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),NPV ($),$34.72,2237555.4
BES-Small_Load_Delivery_Class_(Secondary),NPV ($),$6.18,105374
BES-Medium_Load_Delivery_Class_(Secondary),NPV ($),$6.29,107513.9
BES-Large_Load_Delivery_Class_(Secondary),NPV ($),$6.73,116151.3
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),NPV ($),$16.78,2329484.1
A-10_Medium_General_Demand_Service_(Secondary_Voltage),NPV ($),$16.78,2182840.6
A-6_Small_General_Service_TOU_Single_Phase,NPV ($),$0.00,17075521.7
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),NPV ($),$0.00,432287.4
4B_Large_Power_TOU_(PNM-Owned_Transformer),NPV ($),$17.47,785693
3B_General_Power_TOU_(PNM-Owned_Transformer),NPV ($),$17.47,1936336.9
2B_Small_Power_Service_-_TOU,NPV ($),$0.00,29749.3
2A_(Small_Power_Service),NPV ($),$0.00,11095.6
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Capital Cost ($),$16.23,5043568
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Capital Cost ($),$38.02,2610966.4
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Capital Cost ($),$15.57,5629288
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Capital Cost ($),$36.38,1509240
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Capital Cost ($),$11.05,1357240
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Capital Cost ($),$34.91,1630898
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),Capital Cost ($),$17.81,1421572
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Capital Cost ($),$9.97,747616.4
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Capital Cost ($),$30.87,786980.3
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Capital Cost ($),$13.20,725261
Small_General_Time-of-Day_Service_(A12),Capital Cost ($),$0.00,13058.3
Small_General_Service_Time-Of-Use_(A-1)(B),Capital Cost ($),$7.48,32815.9
Small_General_Service_Metered_(A10),Capital Cost ($),$0.00,3055007.2
Small_General_Service_(A-1)(A),Capital Cost ($),$7.48,32057.9
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Capital Cost ($),$4.84,1067207.6
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Capital Cost ($),$18.90,1033268.74
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Capital Cost ($),$15.66,1569312.48
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Capital Cost ($),$0.00,2654113.07
Schedule_SMC_-_Small_General_Service_City,Capital Cost ($),$0.00,15446.35
Schedule_P,Capital Cost ($),$5.31,1256115
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Capital Cost ($),$2.32,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Capital Cost ($),$2.32,0
Schedule_MDD_-_Medium_Network_General_Service,Capital Cost ($),$4.54,677944.94
Schedule_MDC_-_Medium_Standard_General_Service_City,Capital Cost ($),$2.32,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,Capital Cost ($),$2.32,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),Capital Cost ($),$3.83,773855
Schedule_LGC_-_Large_Standard_General_Service_City,Capital Cost ($),$2.08,0
Schedule_GS_Type_2_(Secondary),Capital Cost ($),$0.00,31533
Schedule_GL_(Secondary_Voltage),Capital Cost ($),$6.15,1306137
Schedule_G_-_Secondary,Capital Cost ($),$0.00,3964658.5
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Capital Cost ($),$41.95,11496920.4
SC-9_-_General_Large_TOD_Service_[NYC],Capital Cost ($),$54.31,7644240
SC-9_-_General_Large_Low_Tension_Service_[NYC],Capital Cost ($),$21.82,1909573.7
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Capital Cost ($),$17.48,8278241.6
Power_and_Light_Medium_Schedule_PLM-11,Capital Cost ($),$0.00,0
Power_and_Light_Large_Schedule_PLL-11,Capital Cost ($),$0.00,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Capital Cost ($),$12.47,4739714
OGS-TOU-NEM,Capital Cost ($),$0.00,2867237.51
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),Capital Cost ($),$16.30,2023000
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,Capital Cost ($),$16.49,756692
LGS-1_-_Large_General_Service,Capital Cost ($),$8.57,2992221.6
Large_Light_&_Power_-_Primary_voltage_discount,Capital Cost ($),$7.55,1080097.42
GSLD-1_(General_Service_Large_Demand),Capital Cost ($),$12.56,506242.2
GSEDS-1_Secondary_Non-Demand,Capital Cost ($),$0.00,3519084.6
GSEDS-1_Secondary_Demand,Capital Cost ($),$9.41,3262842.9
GSEDS-1_Primary_Non-Demand,Capital Cost ($),$0.00,3201587.1
GSEDS-1_Primary_Demand,Capital Cost ($),$7.90,2785789.33
GSDT-1_(General_Service_Demand_-Time-Of-Use),Capital Cost ($),$9.20,445169.2
GSD-1_(General_Service_Demand),Capital Cost ($),$10.60,374977.83
GS-2_(S)_Large_General_Service_Secondary,Capital Cost ($),$11.06,8016538.3
GS-1_General_Service,Capital Cost ($),$0.00,38661.3
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),Capital Cost ($),$11.00,522704.8
General_Service_With_Demand_Meter_(Rate_Code_25),Capital Cost ($),$5.86,2628625.46
General_Service_(A14),Capital Cost ($),$14.98,508977.803
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,Capital Cost ($),$4.12,1517183
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,Capital Cost ($),$4.16,1571102
E-36_Standard_Price_Plan_for_General_Service,Capital Cost ($),$6.76,3219834.9
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Capital Cost ($),$6.65,6238554.8
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),Capital Cost ($),$33.72,5896190
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),Capital Cost ($),$17.58,660938
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Capital Cost ($),$17.58,2505644.2
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Capital Cost ($),$34.72,2972619.6
BES-Small_Load_Delivery_Class_(Secondary),Capital Cost ($),$6.18,1354320.57
BES-Medium_Load_Delivery_Class_(Secondary),Capital Cost ($),$6.29,1357309.27
BES-Large_Load_Delivery_Class_(Secondary),Capital Cost ($),$6.73,1389609.79
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Capital Cost ($),$16.78,2977997.5
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Capital Cost ($),$16.78,3371763.5
A-6_Small_General_Service_TOU_Single_Phase,Capital Cost ($),$0.00,12506967.5
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Capital Cost ($),$0.00,514539.7
4B_Large_Power_TOU_(PNM-Owned_Transformer),Capital Cost ($),$17.47,2580419
3B_General_Power_TOU_(PNM-Owned_Transformer),Capital Cost ($),$17.47,4987401.8
2B_Small_Power_Service_-_TOU,Capital Cost ($),$0.00,27942.3
2A_(Small_Power_Service),Capital Cost ($),$0.00,13558.2
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Battery Power (kW),$16.23,365.37175
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Battery Power (kW),$38.02,74.103325
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Battery Power (kW),$15.57,420.7575
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Battery Power (kW),$36.38,123.622
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Battery Power (kW),$11.05,91.356
