midpoint_data
Rate,Measure Names,Max Demand Rate ($/kW),Measure Values
Power_and_Light_Large_Schedule_PLL-11,Demand Charge Savings ($),$0.00,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Demand Charge Savings ($),$12.47,31439.66875
OGS-TOU-NEM,Demand Charge Savings ($),$0.00,0
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),Demand Charge Savings ($),$16.30,159476.666666667
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,Demand Charge Savings ($),$16.49,30032.4
LGS-1_-_Large_General_Service,Demand Charge Savings ($),$8.57,28540.96875
Large_Light_&_Power_-_Primary_voltage_discount,Demand Charge Savings ($),$7.55,0
GSLD-1_(General_Service_Large_Demand),Demand Charge Savings ($),$12.56,31496.666666667
GSEDS-1_Secondary_Non-Demand,Demand Charge Savings ($),$0.00,0
GSEDS-1_Secondary_Demand,Demand Charge Savings ($),$9.41,26521.86875
GSEDS-1_Primary_Non-Demand,Demand Charge Savings ($),$0.00,0
GSEDS-1_Primary_Demand,Demand Charge Savings ($),$7.90,20745.6625
GSDT-1_(General_Service_Demand_-Time-Of-Use),Demand Charge Savings ($),$9.20,6611.666666667
GSD-1_(General_Service_Demand),Demand Charge Savings ($),$10.60,7464.591666667
GS-2_(S)_Large_General_Service_Secondary,Demand Charge Savings ($),$11.06,34234.4875
GS-1_General_Service,Demand Charge Savings ($),$0.00,0
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),Demand Charge Savings ($),$11.00,45656.666666667
General_Service_With_Demand_Meter_(Rate_Code_25),Demand Charge Savings ($),$5.86,13888.85625
General_Service_(A14),Demand Charge Savings ($),$14.98,4172.764285714
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,Demand Charge Savings ($),$4.12,24399.5
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,Demand Charge Savings ($),$4.16,37680.5
E-36_Standard_Price_Plan_for_General_Service,Demand Charge Savings ($),$6.76,23779.66875
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Demand Charge Savings ($),$6.65,41150.1875
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),Demand Charge Savings ($),$33.72,1184230
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),Demand Charge Savings ($),$17.58,209496
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Demand Charge Savings ($),$17.58,82401.483333333
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Demand Charge Savings ($),$34.72,156937.35
BES-Small_Load_Delivery_Class_(Secondary),Demand Charge Savings ($),$6.18,1868.9375
BES-Medium_Load_Delivery_Class_(Secondary),Demand Charge Savings ($),$6.29,1902.3125
BES-Large_Load_Delivery_Class_(Secondary),Demand Charge Savings ($),$6.73,2046.525
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Demand Charge Savings ($),$16.78,54645.9
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Demand Charge Savings ($),$16.78,48993.35
A-6_Small_General_Service_TOU_Single_Phase,Demand Charge Savings ($),$0.00,0
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Demand Charge Savings ($),$0.00,0
4B_Large_Power_TOU_(PNM-Owned_Transformer),Demand Charge Savings ($),$17.47,189759
3B_General_Power_TOU_(PNM-Owned_Transformer),Demand Charge Savings ($),$17.47,100195.23
2B_Small_Power_Service_-_TOU,Demand Charge Savings ($),$0.00,0
2A_(Small_Power_Service),Demand Charge Savings ($),$0.00,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),NPV ($),$16.23,2272580
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),NPV ($),$38.02,949614.1
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),NPV ($),$15.57,3190630
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),NPV ($),$36.38,458192
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),NPV ($),$11.05,772886
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),NPV ($),$34.91,589539
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),NPV ($),$17.81,709410
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,NPV ($),$9.97,440031.5
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,NPV ($),$30.87,235765.4
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,NPV ($),$13.20,383590.7
Small_General_Time-of-Day_Service_(A12),NPV ($),$0.00,5418.6
Small_General_Service_Time-Of-Use_(A-1)(B),NPV ($),$7.48,16570.4
Small_General_Service_Metered_(A10),NPV ($),$0.00,740848.5
Small_General_Service_(A-1)(A),NPV ($),$7.48,11698.9
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,NPV ($),$4.84,402505.9
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,NPV ($),$18.90,34451.5
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,NPV ($),$15.66,25279.6
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,NPV ($),$0.00,-1.9
Schedule_SMC_-_Small_General_Service_City,NPV ($),$0.00,0
Schedule_P,NPV ($),$5.31,10080
Schedule_MDT-Medium_Standard_General_Service_Tukwila,NPV ($),$2.32,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,NPV ($),$2.32,0
Schedule_MDD_-_Medium_Network_General_Service,NPV ($),$4.54,0
Schedule_MDC_-_Medium_Standard_General_Service_City,NPV ($),$2.32,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,NPV ($),$2.32,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),NPV ($),$3.83,0
Schedule_LGC_-_Large_Standard_General_Service_City,NPV ($),$2.08,0
Schedule_GS_Type_2_(Secondary),NPV ($),$0.00,8341.4
Schedule_GL_(Secondary_Voltage),NPV ($),$6.15,128750
Schedule_G_-_Secondary,NPV ($),$0.00,1788915.8
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],NPV ($),$41.95,2671754.8
SC-9_-_General_Large_TOD_Service_[NYC],NPV ($),$54.31,1851220
SC-9_-_General_Large_Low_Tension_Service_[NYC],NPV ($),$21.82,979463
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),NPV ($),$17.48,2858654
Power_and_Light_Medium_Schedule_PLM-11,NPV ($),$0.00,0
Power_and_Light_Large_Schedule_PLL-11,NPV ($),$0.00,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,NPV ($),$12.47,331976
OGS-TOU-NEM,NPV ($),$0.00,5228.1
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),NPV ($),$16.30,123380
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,NPV ($),$16.49,52972
LGS-1_-_Large_General_Service,NPV ($),$8.57,241941.1
Large_Light_&_Power_-_Primary_voltage_discount,NPV ($),$7.55,0
GSLD-1_(General_Service_Large_Demand),NPV ($),$12.56,13450
GSEDS-1_Secondary_Non-Demand,NPV ($),$0.00,1609138.9
GSEDS-1_Secondary_Demand,NPV ($),$9.41,352754.3
GSEDS-1_Primary_Non-Demand,NPV ($),$0.00,807907.9
GSEDS-1_Primary_Demand,NPV ($),$7.90,258245.2
GSDT-1_(General_Service_Demand_-Time-Of-Use),NPV ($),$9.20,9955.200000000
GSD-1_(General_Service_Demand),NPV ($),$10.60,13730.5
GS-2_(S)_Large_General_Service_Secondary,NPV ($),$11.06,2705371.2
GS-1_General_Service,NPV ($),$0.00,21409.3
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),NPV ($),$11.00,17240
General_Service_With_Demand_Meter_(Rate_Code_25),NPV ($),$5.86,179919.2
General_Service_(A14),NPV ($),$14.98,11493
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,NPV ($),$4.12,13410
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,NPV ($),$4.16,21360
E-36_Standard_Price_Plan_for_General_Service,NPV ($),$6.76,473591.6
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,NPV ($),$6.65,848222.3
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),NPV ($),$33.72,2419220
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),NPV ($),$17.58,318300
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),NPV ($),$17.58,1843542.1
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),NPV ($),$34.72,1303748.7
BES-Small_Load_Delivery_Class_(Secondary),NPV ($),$6.18,2787
BES-Medium_Load_Delivery_Class_(Secondary),NPV ($),$6.29,3132
BES-Large_Load_Delivery_Class_(Secondary),NPV ($),$6.73,4526
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),NPV ($),$16.78,1531253.5
A-10_Medium_General_Demand_Service_(Secondary_Voltage),NPV ($),$16.78,1341759.7
A-6_Small_General_Service_TOU_Single_Phase,NPV ($),$0.00,12604351.7
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),NPV ($),$0.00,253005.4
4B_Large_Power_TOU_(PNM-Owned_Transformer),NPV ($),$17.47,235300
3B_General_Power_TOU_(PNM-Owned_Transformer),NPV ($),$17.47,828701.1
2B_Small_Power_Service_-_TOU,NPV ($),$0.00,23655.5
2A_(Small_Power_Service),NPV ($),$0.00,8124.7
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Capital Cost ($),$16.23,4055145
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Capital Cost ($),$38.02,1826780.9
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Capital Cost ($),$15.57,4607551
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Capital Cost ($),$36.38,1089937
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Capital Cost ($),$11.05,1048545
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Capital Cost ($),$34.91,1134924
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),Capital Cost ($),$17.81,1167960
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Capital Cost ($),$9.97,521704.2
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Capital Cost ($),$30.87,532574.1
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Capital Cost ($),$13.20,549489.3
Small_General_Time-of-Day_Service_(A12),Capital Cost ($),$0.00,14389.9
Small_General_Service_Time-Of-Use_(A-1)(B),Capital Cost ($),$7.48,18043.9
Small_General_Service_Metered_(A10),Capital Cost ($),$0.00,3019457.24
Small_General_Service_(A-1)(A),Capital Cost ($),$7.48,16921.3
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Capital Cost ($),$4.84,1042925.8
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Capital Cost ($),$18.90,255916.335
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Capital Cost ($),$15.66,254506.97
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Capital Cost ($),$0.00,0
Schedule_SMC_-_Small_General_Service_City,Capital Cost ($),$0.00,0
Schedule_P,Capital Cost ($),$5.31,248156.4
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Capital Cost ($),$2.32,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Capital Cost ($),$2.32,0
Schedule_MDD_-_Medium_Network_General_Service,Capital Cost ($),$4.54,0
Schedule_MDC_-_Medium_Standard_General_Service_City,Capital Cost ($),$2.32,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,Capital Cost ($),$2.32,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),Capital Cost ($),$3.83,0
Schedule_LGC_-_Large_Standard_General_Service_City,Capital Cost ($),$2.08,0
Schedule_GS_Type_2_(Secondary),Capital Cost ($),$0.00,32632.2
Schedule_GL_(Secondary_Voltage),Capital Cost ($),$6.15,1034726
Schedule_G_-_Secondary,Capital Cost ($),$0.00,4201935.6
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Capital Cost ($),$41.95,6742702.6
SC-9_-_General_Large_TOD_Service_[NYC],Capital Cost ($),$54.31,4051510
SC-9_-_General_Large_Low_Tension_Service_[NYC],Capital Cost ($),$21.82,2025915
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Capital Cost ($),$17.48,4937488.7
Power_and_Light_Medium_Schedule_PLM-11,Capital Cost ($),$0.00,0
Power_and_Light_Large_Schedule_PLL-11,Capital Cost ($),$0.00,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Capital Cost ($),$12.47,2670135.03
OGS-TOU-NEM,Capital Cost ($),$0.00,1427808.4
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),Capital Cost ($),$16.30,1275994
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,Capital Cost ($),$16.49,410887.7
LGS-1_-_Large_General_Service,Capital Cost ($),$8.57,2311767.6
Large_Light_&_Power_-_Primary_voltage_discount,Capital Cost ($),$7.55,0
GSLD-1_(General_Service_Large_Demand),Capital Cost ($),$12.56,115683
GSEDS-1_Secondary_Non-Demand,Capital Cost ($),$0.00,3850671.2
GSEDS-1_Secondary_Demand,Capital Cost ($),$9.41,2286365.76
GSEDS-1_Primary_Non-Demand,Capital Cost ($),$0.00,3209456.05
GSEDS-1_Primary_Demand,Capital Cost ($),$7.90,2079808.37
GSDT-1_(General_Service_Demand_-Time-Of-Use),Capital Cost ($),$9.20,115318.822
GSD-1_(General_Service_Demand),Capital Cost ($),$10.60,127158.29
GS-2_(S)_Large_General_Service_Secondary,Capital Cost ($),$11.06,4691743.2
GS-1_General_Service,Capital Cost ($),$0.00,41052.3
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),Capital Cost ($),$11.00,170377.6
General_Service_With_Demand_Meter_(Rate_Code_25),Capital Cost ($),$5.86,1957129.81
General_Service_(A14),Capital Cost ($),$14.98,93215.021
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,Capital Cost ($),$4.12,386019
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,Capital Cost ($),$4.16,707334
E-36_Standard_Price_Plan_for_General_Service,Capital Cost ($),$6.76,2844112.55
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Capital Cost ($),$6.65,3797483.9
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),Capital Cost ($),$33.72,4089604
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),Capital Cost ($),$17.58,463618
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Capital Cost ($),$17.58,1955835.8
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Capital Cost ($),$34.72,2032638.6
BES-Small_Load_Delivery_Class_(Secondary),Capital Cost ($),$6.18,87301.2
BES-Medium_Load_Delivery_Class_(Secondary),Capital Cost ($),$6.29,87301.2
BES-Large_Load_Delivery_Class_(Secondary),Capital Cost ($),$6.73,87892.96
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Capital Cost ($),$16.78,1691357.7
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Capital Cost ($),$16.78,1553033.6
A-6_Small_General_Service_TOU_Single_Phase,Capital Cost ($),$0.00,9237793.5
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Capital Cost ($),$0.00,165107.8
4B_Large_Power_TOU_(PNM-Owned_Transformer),Capital Cost ($),$17.47,1554760
3B_General_Power_TOU_(PNM-Owned_Transformer),Capital Cost ($),$17.47,3461082.2
2B_Small_Power_Service_-_TOU,Capital Cost ($),$0.00,18838.3
2A_(Small_Power_Service),Capital Cost ($),$0.00,14722
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Battery Power (kW),$16.23,140.18095
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Battery Power (kW),$38.02,26.971743333
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Battery Power (kW),$15.57,170.539875
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Battery Power (kW),$36.38,44.831925
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Battery Power (kW),$11.05,19.76305
