Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
A-6_Small_General_Service_TOU_Single_Phase,Large Office,San Francisco,1,"1,312 kWh",224 kW,0,13741400,"$2,333K",$0.00,$3M,"2,753 kW",0,8291340
Schedule_G_-_Secondary,Midrise Apartment,Baltimore,1,0 kWh,0 kW,0,297539,$23K,$0.00,$0M,34 kW,0,47344
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Retail Store,New York,1,53 kWh,21 kW,426074,432440,$137K,$41.95,$0M,160 kW,106155,171450
General_Service_(A14),Small Office,Duluth,1,0 kWh,0 kW,25882.6,44333.8,$0K,$14.98,$0M,0 kW,0,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Primary School,Anaheim,1,77 kWh,27 kW,801982,805021,$251K,$38.02,$0M,314 kW,298677,316773
3B_General_Power_TOU_(PNM-Owned_Transformer),Strip Mall,Albuquerque,1,0 kWh,0 kW,105109,283997,$43K,$17.47,$0M,64 kW,11823,64275
Schedule_MDC_-_Medium_Standard_General_Service_City,Warehouse,Seattle,1,0 kWh,0 kW,12777.7,122758,$0K,$2.32,$0M,0 kW,0,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Warehouse,Anaheim,1,14 kWh,6 kW,123807,130793,$50K,$38.02,$0M,63 kW,42338.8,60576.4
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Midrise Apartment,Anaheim,1,4 kWh,2 kW,71504.3,228402,$34K,$13.20,$0M,47 kW,5828.8,73042
BES-Medium_Load_Delivery_Class_(Secondary),Midrise Apartment,Chicago,1,0 kWh,0 kW,38099.2,161657,$0K,$6.29,$0M,0 kW,0,0
GS-2_(S)_Large_General_Service_Secondary,Small Office,Fairbanks,1,0 kWh,0 kW,23232.1,139393,$17K,$11.06,$0M,25 kW,2027.8,33711
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Fast Food,New York,1,15 kWh,5 kW,110714,163422,$33K,$41.95,$0M,37 kW,18491.2,41133
OGS-TOU-NEM,Large Hotel,LasVegas,1,0 kWh,0 kW,0,1560770,$0K,$0.00,$0M,0 kW,0,0
BES-Small_Load_Delivery_Class_(Secondary),Outpatient,Chicago,1,0 kWh,0 kW,206871,966539,$0K,$6.18,$0M,0 kW,0,0
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Midrise Apartment,Atlanta,1,0 kWh,0 kW,80574.5,162364,$0K,$15.66,$0M,0 kW,0,0
GSDT-1_(General_Service_Demand_-Time-Of-Use),Retail Store,Miami,1,0 kWh,0 kW,165782,293785,$0K,$9.20,$0M,0 kW,0,0
GSLD-1_(General_Service_Large_Demand),Secondary School,Miami,1,0 kWh,0 kW,1604240,1651320,$0K,$12.56,$0M,0 kW,0,0
GS-1_General_Service,Fast Food,Fairbanks,1,0 kWh,0 kW,0,288195,$27K,$0.00,$0M,40 kW,0,58872
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,Hospital,Phoenix,1,0 kWh,0 kW,480950,4903670,$0K,$4.16,$0M,0 kW,0,0
Large_Light_&_Power_-_Primary_voltage_discount,Strip Mall,Minneapolis,1,0 kWh,0 kW,0,295036,$0K,$7.55,$0M,0 kW,0,0
E-36_Standard_Price_Plan_for_General_Service,Retail Store,Phoenix,1,0 kWh,0 kW,77684.5,356710,$12K,$6.76,$0M,17 kW,2060.7,17253
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Retail Store,San Francisco,1,15 kWh,6 kW,150935,586117,$116K,$16.78,$0M,158 kW,34073,297627
Small_General_Service_Metered_(A10),Large Hotel,Duluth,1,0 kWh,0 kW,0,2113650,$172K,$0.00,$0M,254 kW,0,304070
Schedule_SMC_-_Small_General_Service_City,Fast Food,Seattle,1,0 kWh,0 kW,0,135037,$0K,$0.00,$0M,0 kW,0,0
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),Large Office,San Francisco,1,657 kWh,222 kW,4220360,5458470,"$1,757K",$33.72,$1M,"2,118 kW",1291580,2571240
GSDT-1_(General_Service_Demand_-Time-Of-Use),Small Hotel,Miami,1,0 kWh,0 kW,194662,433017,$0K,$9.20,$0M,0 kW,0,0
GS-2_(S)_Large_General_Service_Secondary,Medium Office,Fairbanks,1,0 kWh,0 kW,403207,2039380,$169K,$11.06,$0M,248 kW,11444,344320
BES-Medium_Load_Delivery_Class_(Secondary),Hospital,Chicago,1,0 kWh,0 kW,958188,5216790,$0K,$6.29,$0M,0 kW,0,0
GSD-1_(General_Service_Demand),Small Hotel,Miami,1,0 kWh,0 kW,194877,432512,$0K,$10.60,$0M,0 kW,0,0
A-6_Small_General_Service_TOU_Single_Phase,Warehouse,San Francisco,1,13 kWh,3 kW,0,397701,$58K,$0.00,$0M,78 kW,0,219298
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Restaurant,Boulder,1,0 kWh,0 kW,28892.4,291469,$40K,$4.84,$0M,59 kW,1406.6,76383
4B_Large_Power_TOU_(PNM-Owned_Transformer),Secondary School,Albuquerque,1,0 kWh,0 kW,403852,1285370,$127K,$17.47,$0M,187 kW,82526,157870
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Secondary School,Anaheim,1,99 kWh,42 kW,1394070,2340960,$673K,$16.23,$0M,911 kW,426155,1140510
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Strip Mall,Atlanta,1,0 kWh,0 kW,157202,304740,$0K,$15.66,$0M,0 kW,0,0
A-6_Small_General_Service_TOU_Single_Phase,Small Hotel,San Francisco,1,87 kWh,14 kW,0,1389800,$144K,$0.00,$0M,168 kW,0,529637
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Hospital,Anaheim,1,216 kWh,96 kW,2432480,6971760,"$1,538K",$16.23,$1M,"2,086 kW",372630,2934480
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Midrise Apartment,Anaheim,1,22 kWh,7 kW,143530,171793,$38K,$38.02,$0M,41 kW,25664,46714
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Fast Food,Anaheim,1,7 kWh,3 kW,85655.6,129599,$30K,$38.02,$0M,38 kW,17150.6,43637.5
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Midrise Apartment,San Francisco,1,33 kWh,9 kW,138473,204225,$42K,$34.72,$0M,41 kW,29770,57619
GSEDS-1_Primary_Non-Demand,Outpatient,Helena,1,0 kWh,0 kW,0,1394450,$159K,$0.00,$0M,235 kW,0,279690
GSEDS-1_Primary_Non-Demand,Large Hotel,Helena,1,0 kWh,0 kW,0,1997290,$191K,$0.00,$0M,282 kW,0,339680
Power_and_Light_Large_Schedule_PLL-11,Large Office,Atlanta,1,0 kWh,0 kW,0,3526480,$0K,$0.00,$0M,0 kW,0,0
General_Service_With_Demand_Meter_(Rate_Code_25),Hospital,Minneapolis,1,0 kWh,0 kW,876513,6049440,$0K,$5.86,$0M,0 kW,0,0
Small_General_Service_Metered_(A10),Small Hotel,Duluth,1,0 kWh,0 kW,0,709329,$62K,$0.00,$0M,91 kW,0,108390
4B_Large_Power_TOU_(PNM-Owned_Transformer),Large Hotel,Albuquerque,1,0 kWh,0 kW,34434.4,1073900,$0K,$17.47,$0M,0 kW,0,0
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,Primary School,LasVegas,1,0 kWh,0 kW,318661,595632,$52K,$16.49,$0M,76 kW,24555,64143
LGS-1_-_Large_General_Service,Small Hotel,LasVegas,1,0 kWh,0 kW,142125,439085,$0K,$8.57,$0M,0 kW,0,0
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Small Office,Anaheim,1,3 kWh,1 kW,31633.6,89013.7,$24K,$13.20,$0M,32 kW,7836.7,46529
3B_General_Power_TOU_(PNM-Owned_Transformer),Midrise Apartment,Albuquerque,1,0 kWh,0 kW,15649.9,139431,$2K,$17.47,$0M,3 kW,335.4,2715
BES-Small_Load_Delivery_Class_(Secondary),Secondary School,Chicago,1,0 kWh,0 kW,514867,1563540,$0K,$6.18,$0M,0 kW,0,0
LGS-1_-_Large_General_Service,Outpatient,LasVegas,1,0 kWh,0 kW,319348,972084,$7K,$8.57,$0M,11 kW,2265,10045
LGS-1_-_Large_General_Service,Large Hotel,LasVegas,1,0 kWh,0 kW,495121,1480860,$0K,$8.57,$0M,0 kW,0,0
